,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
534,Atar,MR,87.8,clear sky,20.5169,-13.0499,Oumou Elghoura
535,Port Lincoln,AU,67.59,light rain,-34.7333,135.8667,Port Lincoln Hotel
537,Tecoanapa,MX,86.83,clear sky,16.5167,-98.75,Hotel Manglares
540,Lashio,MM,66.7,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
543,Sierra Vista,US,75.0,clear sky,31.5545,-110.3037,Gateway Studio Suites
545,Noumea,NC,75.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
546,Mecca,SA,86.25,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
547,Raton,US,72.0,clear sky,36.9034,-104.4391,Holiday Inn Express & Suites Raton
549,Zwedru,LR,76.14,moderate rain,6.0667,-8.1281,Elijah Worjloh
551,Tezu,IN,75.67,overcast clouds,27.9167,96.1667,Circuit House
554,Takoradi,GH,82.42,scattered clouds,4.8845,-1.7554,Raybow International Hotel
555,Bandundu,CD,74.97,moderate rain,-3.3167,17.3667,Coja Color
557,Beberibe,BR,86.0,scattered clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
561,Nagaur,IN,85.15,broken clouds,27.2,73.7333,Ranvas Nagaur
562,Inhambane,MZ,77.0,few clouds,-23.865,35.3833,Oceano
564,Avon Park,US,91.0,broken clouds,27.5959,-81.5062,Econo Lodge Sebring
566,Gambela,ET,75.33,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
569,Manohar Thana,IN,89.15,broken clouds,24.24,76.8018,GEETA SADAN
574,Yellapur,IN,73.62,clear sky,14.9667,74.7167,Hotel Sambhram & Lodge
577,Lethem,GY,89.04,scattered clouds,3.3803,-59.7968,Savannah Inn
578,Dhanaula,IN,84.13,overcast clouds,30.2833,75.5833,Mary Land Resort
579,Haimen,CN,69.8,overcast clouds,23.1935,116.6142,Jinghao Business Hotel
584,Danville,US,77.0,clear sky,36.586,-79.395,Holiday Inn Express Danville
585,Santa Cruz,BO,82.4,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
588,Laguna,US,81.0,broken clouds,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
590,Narayangarh,IN,83.93,scattered clouds,30.4833,77.1333,Hotel Paris
591,Saurimo,AO,66.9,light rain,-9.6608,20.3916,Hotel Kawissa Saurimo
592,Palmerston,AU,73.4,clear sky,-12.485999999999999,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
594,Mattru,SL,81.82,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
595,Campina Verde,BR,83.88,overcast clouds,-19.5356,-49.4864,Hotel Lino
597,Yanam,IN,77.5,clear sky,16.7333,82.2167,The Regency Hotel
603,Sheridan,US,82.0,clear sky,44.8333,-106.9173,Comfort Inn & Suites
607,Hirara,JP,74.23,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
608,Cantagallo,CO,82.31,overcast clouds,7.376,-73.9196,Apartahotel Altamira
609,Gararu,BR,84.04,scattered clouds,-9.9675,-37.0833,Pousada e Chácara Paraíso
615,Ampanihy,MG,71.1,clear sky,-24.7,44.75,Angora Hotel
616,Nanakuli,US,78.8,broken clouds,21.3906,-158.1547,Camp Pālehua
618,Miri,MY,77.0,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
619,Marawi,PH,75.99,overcast clouds,7.9986,124.2928,Derogongan Residence
620,Chau Doc,VN,80.01,scattered clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
621,Amahai,ID,78.85,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
623,Lumphat,KH,75.92,few clouds,13.4878,106.9816,Lumphat Homestay
624,Puerto Carreno,CO,80.91,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
